id,location,standardized_location
519,"Element Mall, Jaipur, Jaipur, Rajasthan, India","Jaipur, Rajasthan, India"
520,"Element Mall, Jaipur, Jaipur, Rajasthan, India","Jaipur, Rajasthan, India"
521,"RIICO, Bagru, Jaipur, Rajasthan, In..., Rajasthan, in","Bagru, Jaipur, Rajasthan, India"
10,"Bangalore, Chennai","Bangalore, Chennai, India"
7,Manama,"Manama, Capital Governorate, Bahrain"
13,Pune,"Pune, Maharashtra, India"
16,Pune,"Pune, Maharashtra, India"
20,Mumbai (International),"Mumbai, Maharashtra, India"
26,Honwad,"Honwad, Karnataka, India"
28,,
29,"Koppal, Vadhaku Suburamaniya Puram, Dindigul, Gadag, Vijayapura","Koppal, Dindigul, India"
30,"Koppal, Honnavar, Gadag Rural","Koppal, Honnavar, Karnataka, India"
40,Navi Mumbai,"Navi Mumbai, Maharashtra, India"
39,Navi Mumbai,"Navi Mumbai, Maharashtra, India"
45,Navi Mumbai,"Navi Mumbai, Maharashtra, India"
42,Navi Mumbai,"Navi Mumbai, Maharashtra, India"
1393,"Tamil Nadu, Chennai, India","Chennai, Tamil Nadu, India"
50,Navi Mumbai,"Navi Mumbai, Maharashtra, India"
53,Navi Mumbai,"Navi Mumbai, Maharashtra, India"
61,,
63,Delhi,"Delhi, Delhi, India"
64,Noida,"Noida, Uttar Pradesh, India"
68,Noida,"Noida, Uttar Pradesh, India"
71,Noida,"Noida, Uttar Pradesh, India"
73,Hyderabad,"Hyderabad, Telangana, India"
75,Delhi,"Delhi, Delhi, India"
74,Bangalore,"Bangalore, Karnataka, India"
77,,
79,BARRACKPORE - REGISTERED OFFICE,"Barrackpore, West Bengal, India"
82,Chinsurah,"Chinsurah, West Bengal, India"
83,BARDHAMAN - HUB,"Bardhaman, West Bengal, India"
85,"Bhagra, Madhyamgram RV",
84,SILIGURI - HUB,"Siliguri, West Bengal, India"
86,BARRACKPORE - HUB,"Barrackpore, West Bengal, India"
87,Naihati,"Naihati, West Bengal, India"
89,BARRACKPORE - REGISTERED OFFICE,"Barrackpore, West Bengal, India"
91,Bengaluru,"Bangalore, Karnataka, India"
93,BENGALURU - CORPORATE,"Bangalore, Karnataka, India"
1269,Chennai City Corporation,"Chennai, Tamil Nadu, India"
844,"Mormugao, Goa, India","Mormugao, Goa, India"
100,R&D CENTRE - BARRACKPORE,"Barrackpore, West Bengal, India"
99,BARRACKPORE - HUB,"Barrackpore, West Bengal, India"
104,JAIPUR - HUB,"Jaipur, Rajasthan, India"
107,Madhubani,"Madhubani, Bihar, India"
108,Dinhata,"Dinhata, West Bengal, India"
112,Gwalior,"Gwalior, Madhya Pradesh, India"
116,Greater Noida,"Greater Noida, Uttar Pradesh, India"
114,Jaipur,"Jaipur, Rajasthan, India"
123,Noida,"Noida, Uttar Pradesh, India"
125,Noida,"Noida, Uttar Pradesh, India"
130,Bangalore,"Bangalore, Karnataka, India"
132,Noida,"Noida, Uttar Pradesh, India"
135,Noida,"Noida, Uttar Pradesh, India"
137,Noida,"Noida, Uttar Pradesh, India"
136,Noida,"Noida, Uttar Pradesh, India"
143,Noida,"Noida, Uttar Pradesh, India"
147,Noida,"Noida, Uttar Pradesh, India"
144,Noida,"Noida, Uttar Pradesh, India"
503,Bangalore,"Bangalore, Karnataka, India"
163,Noida,"Noida, Uttar Pradesh, India"
167,Noida,"Noida, Uttar Pradesh, India"
168,Noida,"Noida, Uttar Pradesh, India"
171,Noida,"Noida, Uttar Pradesh, India"
177,Noida,"Noida, Uttar Pradesh, India"
176,Pune,"Pune, Maharashtra, India"
183,Roorkee,"Roorkee, Uttarakhand, India"
186,Roorkee,"Roorkee, Uttarakhand, India"
190,Greater Noida,"Greater Noida, Uttar Pradesh, India"
197,Roorkee,"Roorkee, Uttarakhand, India"
199,Noida,"Noida, Uttar Pradesh, India"
578,Gandhinagar,"Gandhinagar, Gujarat, India"
208,Bangalore,"Bangalore, Karnataka, India"
211,"Bangalore, India","Bangalore, Karnataka, India"
210,"Bangalore, Bangalore, India","Bangalore, Karnataka, India"
212,Bangalore,"Bangalore, Karnataka, India"
214,"Bangalore, India","Bangalore, Karnataka, India"
215,Bengaluru,"Bangalore, Karnataka, India"
216,"Bangalore, India","Bangalore, Karnataka, India"
220,"Delhi, Hyderabad","Delhi, Hyderabad, India"
224,Maheshwaram,"Maheshwaram, Telangana, India"
225,Maheshwaram,"Maheshwaram, Telangana, India"
226,"Maheshwaram, Maheshwaram","Maheshwaram, Telangana, India"
227,Maheshwaram,"Maheshwaram, Telangana, India"
229,"Cochin, Kerala, India","Kochi, Kerala, India"
230,"Cochin, Kerala, India","Kochi, Kerala, India"
236,"Cochin, Kerala, India","Kochi, Kerala, India"
238,Bangalore,"Bangalore, Karnataka, India"
245,Chennai,"Chennai, Tamil Nadu, India"
1629,"Haryana, Gurugram, India","Gurugram, Haryana, India"
2931,Bangalore,"Bangalore, Karnataka, India"
262,Chennai,"Chennai, Tamil Nadu, India"
264,Chennai,"Chennai, Tamil Nadu, India"
270,Chennai,"Chennai, Tamil Nadu, India"
277,Saltlake Sector-2,"Kolkata, West Bengal, India"
279,Saltlake Sector-2,"Kolkata, West Bengal, India"
288,Mumbai,"Mumbai, Maharashtra, India"
287,Mumbai,"Mumbai, Maharashtra, India"
292,Mumbai,"Mumbai, Maharashtra, India"
293,Mumbai,"Mumbai, Maharashtra, India"
298,Mumbai,"Mumbai, Maharashtra, India"
